time_elapsed,explained_variance,clip_range,value_loss,entropy,fps,total_timesteps,iterations,std,ep_reward_mean,policy_loss
429470.0,0.9659501500427724,0.1,7.4431825,0.81307113,59.0,25444352.0,1553.0,0.55163455,0.3994955687587719,-0.0019324776
429732.0,0.967858836054802,0.1,17.024134,0.8142824,59.0,25460736.0,1554.0,0.5520417,0.3920695982105921,-0.004634899
430017.0,0.9681490287184716,0.1,9.097283,0.8173356,59.0,25477120.0,1555.0,0.5539006,0.3954099145584432,-0.001499489
430289.0,0.965731929987669,0.1,14.361601,0.8194817,59.0,25493504.0,1556.0,0.5551175,0.3949506539794656,-0.0039758347
430552.0,0.9673601873219012,0.1,4.2618194,0.82099646,59.0,25509888.0,1557.0,0.55589503,0.3973099660398281,0.0031958055
430868.0,0.971809722483158,0.1,5.909648,0.82122517,59.0,25526272.0,1558.0,0.55597353,0.3986761285606329,0.009019022
431159.0,0.9679857641458512,0.1,8.747649,0.82040083,59.0,25542656.0,1559.0,0.5554215,0.3920500616911249,-0.0022402052
431474.0,0.9628078527748584,0.1,27.002274,0.822505,59.0,25559040.0,1560.0,0.5564914,0.3922812174901797,-0.0010729227
431716.0,0.9651741907000542,0.1,12.149561,0.82353246,59.0,25575424.0,1561.0,0.55680543,0.3928155766756053,0.012778584
431987.0,0.9753983188420534,0.1,9.848856,0.82333696,59.0,25591808.0,1562.0,0.556638,0.3914154100146719,0.0021055946
432281.0,0.9693203549832106,0.1,12.206488,0.82318085,59.0,25608192.0,1563.0,0.5564488,0.3878034773660337,-0.0026109926
432531.0,0.9658389687538148,0.1,7.021698,0.8238853,59.0,25624576.0,1564.0,0.5567876,0.3929521950821205,-0.0021296144
432850.0,0.9710242934525012,0.1,10.130666,0.82445765,59.0,25640960.0,1565.0,0.557194,0.3890085927385127,0.008429782
433121.0,0.9666771069169044,0.1,18.527142,0.8274506,59.0,25657344.0,1566.0,0.5586914,0.3854939543276826,0.0074406145
433407.0,nan,nan,nan,nan,57.0,25673728.0,1567.0,nan,0.4254814535892901,nan
433661.0,0.9614542759954928,0.1,12.827385,0.8311939,60.0,25690112.0,1568.0,0.56082,0.4191077503751826,-0.0010016642
433883.0,0.9771675374358892,0.1,7.8219523,0.8317917,64.0,25706496.0,1569.0,0.5611894,0.4157022142913489,-0.0032543764
434168.0,0.9758075140416622,0.1,4.396644,0.8315153,62.0,25722880.0,1570.0,0.56112593,0.4096084112197875,0.0017878059
434439.0,0.9655070826411248,0.1,27.41568,0.8305334,62.0,25739264.0,1571.0,0.5603374,0.3982394428396106,0.003186375
434708.0,0.9656796790659428,0.1,9.933962,0.83311117,61.0,25755648.0,1572.0,0.5616872,0.3962734237186045,0.008313893
434987.0,0.9691218938678504,0.1,18.9107,0.83333266,61.0,25772032.0,1573.0,0.56187505,0.3936664612812534,-0.010654046
435263.0,0.975209090858698,0.1,25.752192,0.8351892,61.0,25788416.0,1574.0,0.56275225,0.3894375688312544,-0.0015996979
435550.0,0.9723606389015912,0.1,17.47203,0.8360605,60.0,25804800.0,1575.0,0.56305456,0.3896300132751744,-0.00079148915
435842.0,0.9675998724997044,0.1,20.898478,0.83945197,60.0,25821184.0,1576.0,0.5651226,0.389143249057876,0.008051532
